nom	adaptat	lat	lon	email	telf	fax	addr	url
Restaurant Hisop	0	41.3944576083	2.14801233333	Work: hisop@hisop.com	Work: +34 932413233	Fax: +34 932413233	Ptge Marimon 9, 08021, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA	http://www.hisop.com
Cafè Just	0	41.3826768528	2.17960733333		Work: +34 933106456		Sots-tinent Navarro 18, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	
Restaurant Can Seixanta *Pau Claris	0	41.3929862417	2.16695730556		Work: +34 934879581		C Pau Claris 128, 08009, la Dreta de l'Eixample, Eixample, BARCELONA	
Restaurant Tívoli Tercer Mil·lenni	1	41.3980793889	2.1436165		Work: +34 932090381	Fax: +34 932001304	C Rector Ubach 25*27, 08021, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA	http://www.tivoli-bcn.com
Bar Imagine	0	41.3926902778	2.1534565		Work: +34 933225390		Aribau 153, 08036, l'Antiga Esquerra de l'Eixample, Eixample, BARCELONA	
Bar Prelude	0	41.3961363417	2.16315719444		Work: +34 934879445		Provença 277, 08037, la Dreta de l'Eixample, Eixample, BARCELONA	
Restaurant Litoral	1	41.3760593472	2.19002027778		Work: +34 932212209	Fax: +34 932214812	Pescadors 87, 08003, la Barceloneta, Ciutat Vella, BARCELONA	
Restaurant Bona Tapa	0	41.4303512389	2.18057136111		Work: +34 933491372		Pg Fabra i Puig 148, 08016, Porta, Nou Barris, BARCELONA	
 Tea Company	0	41.4304571417	2.17321586111		Work: +34 933577957		Pg Fabra i Puig 276, 08031, el Turó de la Peira, Nou Barris, BARCELONA	
Restaurant Melton	0	41.3928615833	2.15096438889		Work: +34 933632776	Fax: +34 933632776	C Muntaner 189 bxs, 08036, l'Antiga Esquerra de l'Eixample, Eixample, BARCELONA	http://www.restauran-melton.com
Cafeteria Restaurant Zelig	0	41.3797669389	2.16625672222		Work: +34 934415622		C Carme 116, 08001, el Raval, Ciutat Vella, BARCELONA	
Bar McDonald's *Maremàgnum	1	41.3757309111	2.18321327778		Work: +34 932258195		Moll Espanya 5*6, 08039, el Barri Gòtic, Ciutat Vella, BARCELONA	http://www.mcdonalds.es
Restaurant Grill-Braseria	0	41.3757309111	2.18321327778				Moll Espanya 5*6, 08039, el Barri Gòtic, Ciutat Vella, BARCELONA	
Bar Nit i Dia *Maremàgnum	0	41.3757309111	2.18321327778		Work: +34 932258001		Moll Espanya 5*6, 08039, el Barri Gòtic, Ciutat Vella, BARCELONA	
Bar restaurant Berlín	0	41.3943293472	2.14949736111		Work: +34 932006542		Muntaner 242, 08021, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA	
Restaurant El Comedor	0	41.3811043139	2.17813216667		Work: +34 933175405		C Palau 6, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	
Restaurant Polenta	0	41.3812382694	2.18050033333		Work: +34 932681429		C Ample 51, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	
Bar Jupiter	0	41.382098825	2.18008325		Work: +34 932683650		Jupí 4, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	
Bar Restaurant L'Hostal de la Bona Sort	0	41.3860867972	2.18024858333		Work: +34 933105460		C Carders 12, 08003, Sant Pere, Santa Caterina i la Ribera, Ciutat Vella, BARCELONA	
Restaurant Lizarran *Sardenya	0	41.4038259861	2.17293713889	Work: lizarransagradafamilia@yahoo.com	Work: +34 934462003	Fax: +34 934368707	C Sardenya 324, 08025, la Sagrada Família, Eixample, BARCELONA	http://www.grupolizarran.com
Restaurant Coure	0	41.3944035139	2.14788022222	Work: restaurantcoure@hotmail.com	Work: +34 932007532		Ptge Marimon 20 bxs, 08021, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA	
Restaurant Farga *Beethoven	0	41.3930812472	2.14055472222		Work: +34 932402044	Fax: +34 934146519	C Beethoven 11, 08021, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA	
Restaurant Asador de Aranda *Pau Claris	0	41.3892138639	2.17196238889	Work: asador@asadoraranda.com	Work: +34 933425577	Fax: +34 933425578	C Pau Claris 70, 08010, la Dreta de l'Eixample, Eixample, BARCELONA	
Restaurant Foster's Hollywood *Pg M Girona	0	41.3905798806	2.12340477778	Work: fostershollywood@fostershollywood.es	Work: +34 932806153	Fax: +34 932060174	Pg Manuel Girona 38*LB, 08034, Pedralbes, Les Corts, BARCELONA	http://www.fostershollywood.es
Restaurant Foster's Hollywood *La Maquinista	0	41.442532125	2.198353	Work: fostershollywood@fostershollywood.es	Work: +34 933608851	Fax: +34 933608852	Pg Potosí 2, 08030, el Bon Pastor, Sant Andreu, BARCELONA	http://www.fostershollywood.es
Restaurant Foster's Hollywood *Heron City	0	41.4350944194	2.18102433333	Work: fostershollywood@fostershollywood.es	Work: +34 932761954	Fax: +34 932761962	Av Rio de Janeiro 42, 08016, Porta, Nou Barris, BARCELONA	http://www.fostershollywood.es
Bar Restaurant La Tasqueta	0	41.4029638139	2.20001961111		Work: +34 933075901		Pallars 243, 08005, el Poblenou, Sant Martí, BARCELONA	
Bar Restaurant Pita Inn *Heron City	0	41.4350944194	2.18102433333		Work: +34 933010037		Av Rio de Janeiro 42, 08016, Porta, Nou Barris, BARCELONA	
Restaurant Bar Musical Imprevist	0	41.3816964889	2.16452319444		Work: +34 933425859		C Ferlandina 34, 08001, el Raval, Ciutat Vella, BARCELONA	http://www.imprevist.es
Bar Restaurant Japonès Machiroku	0	41.3871702778	2.17291705556		Work: +34 934126082		C Moles 21, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	
Bar cafeteria Il Caffè di Roma *Heron City	0	41.4350944194	2.18102433333		Work: +34 932765126		Av Rio de Janeiro 42, 08016, Porta, Nou Barris, BARCELONA	
Restaurant Rodilla *Diagonal Mar	1	41.4109750333	2.21858044444		Work: +34 933560413	Fax: +34 933562403	Av Diagonal 3, 08019, Poble Nou, Sant Martí, BARCELONA	
Restaurant Little Italy *Av Marques de L'Argentera	1	41.3849971278	2.18503011111		Work: +34 932687633	Fax: +34 934813071	Av Marquès de l'Argentera 19, 08003, Sant Pere, Santa Caterina i la Ribera, Ciutat Vella, BARCELONA	
Hotel Saint Moritz	0	41.3909375833	2.167943		Main: +34 934121500	Fax: +34 934121236	C Diputació 262*264, 08007, la Dreta de l'Eixample, Eixample, BARCELONA	http://www.hcchotels.com
Bar Ca la Lluisa *Diagonal Mar	0	41.4109750333	2.21858044444		Work: +34 935525617	Fax: +34 935525618	Av Diagonal 3, 08019, Poble Nou, Sant Martí, BARCELONA	
Restaurant El Racó d'en José Luis II	0	41.3908965194	2.19785094444		Work: +34 932211122		C Salvador Espriu 61, 08005, la Vila Olímpica del Poblenou, Sant Martí, BARCELONA	http://www.accua.com
Da Geppetto	0	41.3989890833	2.20350119444		Work: +34 932254018		Rbla Poblenou 27, 08005, el Poblenou, Sant Martí, BARCELONA	
Club Natació Atlètic - Barceloneta	0	41.3754347139	2.18983658333		Work: +34 932210387		Pl Mar 1, 08003, la Barceloneta, Ciutat Vella, BARCELONA	
Restaurant Taberna Abasolo Etxea	0	41.3948823972	2.14381708333		Work: +34 932004877	Fax: +34 932092422	C Marià Cubí 190, 08021, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA	http://www.abasoloetxea.com
Bar Berlin	0	41.3943293472	2.14949736111		Work: +34 932006542		Muntaner 240, 08021, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA	
Bar Restaurant On	0	41.382895425	2.17549213889				Sant Domènec del Call 14, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	
Restaurant Biblioteca	0	41.3792375583	2.17190455556	Work: chef@bilbio-teca.com	Work: +34 934126221		C Junta de Comerç 28, 08001, el Raval, Ciutat Vella, BARCELONA	
Bar musical Fritz Mar	1	41.3834445833	2.19546244444		Work: +34 932217765		Pg Marítim Barceloneta 34, 08005, la Barceloneta, Ciutat Vella, BARCELONA	
Hotel Rívoli Rambla	0	41.3842850167	2.17115677778		Main: +34 934817676	Fax: +34 933175053	C la Rambla 128, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	
Hotel Barcelona Hilton	0	41.3888921722	2.13137602778		Work: +34 934957777	Fax: +34 934957700	Av Diagonal 589*591, 08014, les Corts, Les Corts, BARCELONA	
Bar Restaurant L'Explendid	0	41.3964759278	2.14893075		Work: +34 932008877		C Aribau 254, 08006, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA	
Restaurant Bar Ra	0	41.3817709333	2.17060491667		Work: +34 933014163	Fax: +34 933016132	Pl Gardunya 1, 08001, el Raval, Ciutat Vella, BARCELONA	
Restaurant Embat	0	41.3970315722	2.16698644444	Work: info@restaurantembat.es	Work: +34 934580855		C Mallorca 304, 08037, la Dreta de l'Eixample, Eixample, BARCELONA	
Base Nàutica Municipal de la Mar Bella	0	40.6437016083	1.81659794444		Work: +34 932210432		Ptja Bogatell, 08005, Poble Nou, Sant Martí, BARCELONA	
Reial Cercle Artístic - Institut Barcelonès d'Art	0	41.3845369611	2.17449438889	Work: cercleartistic@cconline.es	Work: +34 933015937		C Arcs 5, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	
 Té *La Maquinista	0	41.442532125	2.198353		Work: +34 933608105		Pg Potosí 2, 08030, el Bon Pastor, Sant Andreu, BARCELONA	http://www.cafeandte.com
Natural Blend *La Maquinista	0	41.442532125	2.198353		Work: +34 933608145		Pg Potosí 2, 08030, el Bon Pastor, Sant Andreu, BARCELONA	
Vilaplana *La Maquinista	0	41.442532125	2.198353				Pg Potosí 2, 08030, el Bon Pastor, Sant Andreu, BARCELONA	
Dunkin Donuts *La Maquinista	0	41.442532125	2.198353		Work: +34 933608767		Pg Potosí 2, 08030, el Bon Pastor, Sant Andreu, BARCELONA	http://www.dunkindonuts.com
Jamaica Coffee Shop *La Maquinista	0	41.4407775667	2.19846719444		Work: +34 933608729		Pg Potosí 2 bxs B, 08030, el Bon Pastor, Sant Andreu, BARCELONA	http://www.jamaicacoffeeshop.es
Cafeteria Cafe Quijano *La Maquinista	0	41.442532125	2.198353		Work: +34 933608741		Pg Potosí 2, 08030, el Bon Pastor, Sant Andreu, BARCELONA	
Restaurant Bazaar *La Maquinista	0	41.442532125	2.198353		Work: +34 933608350		Pg Potosí 2, 08030, el Bon Pastor, Sant Andreu, BARCELONA	
Restaurant Taverna Sagardi-Euskal *La Maquinista	0	41.442532125	2.198353	Work: reservas@sagardi.es	Work: +34 933608115	Fax: +34 933435411	Pg Potosí 2, 08030, el Bon Pastor, Sant Andreu, BARCELONA	http://www.sagardi.com
Res. Pastafiore *La Maquinista	1	41.442532125	2.198353	Work: pfbarcelonamaquinista@pansandcompany.com	Work: +34 933608097		Pg Potosí 2, 08030, el Bon Pastor, Sant Andreu, BARCELONA	
Restaurant Pitamanía *La Maquinista	1	41.442532125	2.198353		Work: +34 933608864		Pg Potosí 2, 08030, el Bon Pastor, Sant Andreu, BARCELONA	
Cerveseria Restaurant Gambrinus *La Maquinista	1	41.442532125	2.198353		Work: +34 933608219		Pg Potosí 2, 08030, el Bon Pastor, Sant Andreu, BARCELONA	
Restaurant Lizarran *La Maquinista	1	41.442532125	2.198353	Work: dfcpromo@wanodoo.es	Work: +34 933608941	Fax: +34 933608941	Pg Potosí 2, 08030, el Bon Pastor, Sant Andreu, BARCELONA	
Restaurant TapasBar *La Maquinista	1	41.442532125	2.198353		Work: +34 933608879		Pg Potosí 2, 08030, el Bon Pastor, Sant Andreu, BARCELONA	http://www.tapasbar.es
Restaurant La Granja *La Maquinista	0	41.442532125	2.198353		Work: +34 933608186		Pg Potosí 2, 08030, el Bon Pastor, Sant Andreu, BARCELONA	
Restaurant Cantina Mariachi *La Maquinista	0	41.442532125	2.198353		Work: +34 933608346	Fax: +34 933608346	Pg Potosí 2, 08030, el Bon Pastor, Sant Andreu, BARCELONA	http://www.cantina-mariachi.com
Cerveseria Restaurant El Fraile *La Maquinista	0	41.442532125	2.198353	Work: elfraile@elfraile.net	Work: +34 933608944	Fax: +34 932213481	Pg Potosí 2, 08030, el Bon Pastor, Sant Andreu, BARCELONA	http://www.elfraile.net
Restaurant Trattoria Ginos *La Maquinista	0	41.442532125	2.198353		Work: +34 933608123		Pg Potosí 2, 08030, el Bon Pastor, Sant Andreu, BARCELONA	http://www.grupovips.com
Bar Burger King *La Maquinista	0	41.442532125	2.198353				Pg Potosí 2, 08030, el Bon Pastor, Sant Andreu, BARCELONA	
Bar McDonald's *La Maquinista	0	41.442532125	2.198353		Work: +34 933608732		Pg Potosí 2, 08030, el Bon Pastor, Sant Andreu, BARCELONA	
 Company *La Maquinista	1	41.442532125	2.198353		Work: +34 933608040		Pg Potosí 2, 08030, el Bon Pastor, Sant Andreu, BARCELONA	http://www.pansandcompany.com
Happy Crack *La Maquinista	0	41.442532125	2.198353				Pg Potosí 2, 08030, el Bon Pastor, Sant Andreu, BARCELONA	
Restaurant La Lluna	1	41.3851925722	2.17178466667	Work: info@lallunarestaurant.com	Work: +34 933424479		Cro Sant Bonaventura 5, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	http://www.lallunarestaurant.com
Bar Terra	0	41.3947236333	2.191901		Work: +34 932322486		Pujades 64, 08005, el Parc i la Llacuna del Poblenou, Sant Martí, BARCELONA	
Hotel Intercontinental Princesa Sofía Barcelona	0	41.3865290694	2.12310869444	Work: psofiacontraste@expogrupo.com	Work: +34 935081010	Fax: +34 933302154	Pl Pius XII 4, 08034, la Maternitat i Sant Ramon, Les Corts, BARCELONA	http://www.expogrupo.com
Restaurant Sugar Club *World Trade Center	0	41.3710596111	2.18234558333	Work: info@sugarclub-barcelona.com	Work: +34 902888115	Fax: +34 932289721	Moll Barcelona 1, 08039, el Raval, Ciutat Vella, BARCELONA	http://www.sugarclub-barcelona.com
Bar Restaurant O'Carballo	0	41.40547245	2.16462194444		Work: +34 934574197		Trav Gràcia 252, 08025, el Camp d'en Grassot i Gràcia Nova, Gràcia, BARCELONA	
Bar Restaurant Xiscarexantar	0	41.3962660972	2.19221894444		Work: +34 934855862	Fax: +34 934855862	Pere IV 59 Baix, 08018, el Parc i la Llacuna del Poblenou, Sant Martí, BARCELONA	
Restaurant Txalaparta	0	41.3755466083	2.13365286111	Work: txalaparta@restaurantetxalaparta.com	Work: +34 934092019	Fax: +34 934902973	C Sants 146*152, 08028, Sants, Sants-Montjuïc, BARCELONA	http://www.restaurantetxalaparta.com
Restaurant Alta Taberna Paco Meralgo	0	41.3917135278	2.1524825		Work: +34 934309027	Fax: +34 933221507	C Muntaner 171, 08036, l'Antiga Esquerra de l'Eixample, Eixample, BARCELONA	http://www.pacomeralgo.com
Restaurant de Tapa Madre	0	41.39694865	2.16650597222	Work: detapamadre@hotmail.com	Work: +34 934593134	Fax: +34 934572861	C Mallorca 301 bxs, 08037, la Dreta de l'Eixample, Eixample, BARCELONA	http://www.detapamadre.com
Restaurant Carmelitas	0	41.3818129889	2.16933905556	Work: carmelitas@iservicesmail.com	Work: +34 934124684	Fax: +34 933426751	C Carme 42, 08001, el Raval, Ciutat Vella, BARCELONA	http://www.carmelitas.biz
Restaurant Torre d'Altamar	0	41.3731424611	2.18792527778	Work: reserves@torredealtamar.com	Work: +34 932210007	Fax: +34 932210090	Pg J Borbó Comte Barcelona 88, 08039, la Barceloneta, Ciutat Vella, BARCELONA	http://www.torredealtamar.com
Centre Garcilaso	1	41.422605125	2.18621416667		Work: +34 932562959	Fax: +34 932431710	C Garcilaso 103, 08027, la Sagrera, Sant Andreu, BARCELONA	
Cafeteria The Bagel Shop	0	41.4004260222	2.15772655556		Work: +34 932176101		Pl Vila de Gràcia 8, 08012, Gràcia, Gràcia, BARCELONA	
Gran Casino de Barcelona	0	41.3870826222	2.1965545		Main: +34 932257878		C Marina 19*21, 08005, la Barceloneta, Ciutat Vella, BARCELONA	
Bar Restaurant Arrel del Born	1	41.3863675889	2.18302430556	Work: arrel@virtualsys.com	Work: +34 933199299	Fax: +34 933199299	C Fusina 5, 08003, Sant Pere, Santa Caterina i la Ribera, Ciutat Vella, BARCELONA	http://www.arreldelborn.com
Bar Restaurant Cros Diagonal	0	41.3941960889	2.15128055556	Work: crosdiagonal@yahoo.es	Work: +34 934143748	Fax: +34 932094332	Av Diagonal 433, 08036, l'Antiga Esquerra de l'Eixample, Eixample, BARCELONA	
Restaurant La Vinya del Senyor *Avinguda Sarrià	0	41.3898722694	2.14691411111		Work: +34 934102511		Av Sarrià 15 bxs, 08029, la Nova Esquerra de l'Eixample, Eixample, BARCELONA	
Pizza Sapri *Gal.lileu	0	41.3861565389	2.13124944444		Work: +34 933222040		Galileu 326, 08028, les Corts, Les Corts, BARCELONA	http://www.pizzasapri.com
Restaurant Las Fiestas del Convento	0	41.38112295	2.17150352778	Work: info@sebastiangroup.com	Work: +34 933022432	Fax: +34 933022432	C Jerusalem 3 P R AL04, 08001, el Raval, Ciutat Vella, BARCELONA	http://www.sebastiangroup.com
Cerveseria Restaurant Can Xapata	0	41.3942084694	2.1469185		Work: +34 932402184		C Casanova 213, 08021, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA	http://www.can-xapata.com
Restaurant Japonès Prosperity Sushi	1	41.3904824	2.16055866667		Work: +34 934516228		C València 240, 08007, l'Antiga Esquerra de l'Eixample, Eixample, BARCELONA	
Restaurant La Polpa	0	41.3911988694	2.15768702778		Work: +34 933238308		C Enric Granados 69, 08008, l'Antiga Esquerra de l'Eixample, Eixample, BARCELONA	
Restaurant Xinés Memorias de China	1	41.4004466556	2.14991436111	Work: info@memoriasdechina.es	Work: +34 934157602	Fax: +34 932183304	C Lincoln 17, 08006, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA	http://www.memoriasdechina.es
Restaurant El Rovell del Born	0	41.38363045	2.18019111111		Work: +34 932690458		C Argenteria 6, 08003, Sant Pere, Santa Caterina i la Ribera, Ciutat Vella, BARCELONA	
Café Restaurant L'Appart	1	41.3858545639	2.16652961111		Work: +34 933176673		C Pelai 9, 08001, la Dreta de l'Eixample, Eixample, BARCELONA	
Restaurant La General de Tartas	0	41.4033053944	2.12727230556		Work: +34 932123302		Pg Bonanova 56, 08017, Sant Gervasi - la Bonanova, Sarrià-Sant Gervasi, BARCELONA	
Restaurant Japonès Sumo *Centre de la Vila	0	41.3908965194	2.19785094444		Work: +34 932219847	Fax: +34 932219847	C Salvador Espriu 61, 08005, la Vila Olímpica del Poblenou, Sant Martí, BARCELONA	
Restaurant Japonès Sumo *Diagonal Mar	1	41.4104266583	2.21640544444		Work: +34 933562327	Fax: +34 933562327	Av Diagonal 3, 08019, Poble Nou, Sant Martí, BARCELONA	
Restaurant Chido One	0	41.4032699556	2.15902263889	Work: info@chidoone.com	Work: +34 932850335	Fax: +34 932371531	C Torrijos 30, 08012, la Vila de Gràcia, Gràcia, BARCELONA	http://www.chidoone.com
Bar Restaurant 12+1 Deport Restaurant	1	41.3908965194	2.19785094444	Work: 12mas1@12mas1.com	Work: +34 932219752	Fax: +34 932219752	Arquitecte Sert 17*19, 08005, la Vila Olímpica del Poblenou, Sant Martí, BARCELONA	http://www.12mas1.com
Cerveseria Restaurant Vildsvin	0	41.3819739944	2.17633375	Work: reservas@sagardi.es	Work: +34 933179455		C Ferran 38, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	
Xiringuito Splashh	0	41.3758696778	2.19114980556				Ptja Barceloneta 100*LP, 08003, Barceloneta, Ciutat Vella, BARCELONA	
Bar El 24	0	41.3812066389	2.17537258333		Work: +34 933020986		Ferran 24, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	
Restaurant Va de Vi	0	41.38419725	2.18114591667		Work: +34 933192900		Banys Vells 16, 08003, Sant Pere, Santa Caterina i la Ribera, Ciutat Vella, BARCELONA	
Museu d'Història de Catalunya	1	41.3808077	2.18585572222		Work: +34 932210050		Pl Pau Vila 3, 08039, la Barceloneta, Ciutat Vella, BARCELONA	
Restaurant Self-service Polimenú*La Cup	0	41.3899178917	2.11537511111	Work: notable@versin.com	Work: +34 934017107	Fax: +34 932044020	C Jordi Girona 1-3, 08034, Pedralbes, Les Corts, BARCELONA	http://www.restaurantenotable.com
Restaurant Notable *La Cup	0	41.3878710778	2.11465177778	Work: polinotable@terra.es	Work: +34 934017107	Fax: +34 932044020	C Jordi Girona 3*5, 08034, Pedralbes, Les Corts, BARCELONA	http://www.restaurantenotable.com
Restaurant Els Pollos de Llull *Ramon Turró	0	41.3910487167	2.19092422222	Work: info@elspollos.com	Work: +34 932213206	Fax: +34 932213206	C Ramon Turró 13, 08005, la Vila Olímpica del Poblenou, Sant Martí, BARCELONA	http://www.elspollos.com
Bar La Confiteria	0	41.3754876611	2.16792241667		Work: +34 93 443 0458		Sant Pau 128, 08001, el Raval, Ciutat Vella, BARCELONA	
Abba Sants Hotel	0	41.3825686806	2.14001916667	Work: abbasants@abbahoteles.com	Main: +34 936003131	Fax: +34 936003101	C Numància 32, 08029, Sants, Sants-Montjuïc, BARCELONA	http://www.abbahoteles.com
Centro Riojano de Barcelona	1	41.3814713083	2.16731366667		Work: +34 934430854	Fax: +34 934423827	Peu de la Creu 8*10, 08001, el Raval, Ciutat Vella, BARCELONA	
Restaurant Ugarit Bruniquer	0	41.4051440833	2.16135561111		Work: +34 932841214		C Bruniquer 37, 08024, la Vila de Gràcia, Gràcia, BARCELONA	http://www.ugaritrestaurantsirio.com
Restaurant Baravins	1	41.3879941778	2.15106863889	Work: baravins@teleline.es	Work: +34 934515172		C Comte d'Urgell 196, 08036, l'Antiga Esquerra de l'Eixample, Eixample, BARCELONA	
Restaurant Las Guindas	0	41.3755543722	2.16801372222				C Sant Pau 126, 08001, el Raval, Ciutat Vella, BARCELONA	
Restaurant Gran Babilonia	0	41.3992197917	2.14118566667		Work: +34 932010904	Fax: +34 934142195	C Santaló 125, 08021, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA	
Fàbrica de Creació Ateneu Popular 9 Barris	0	41.4496058083	2.17894866667	Work: info@ateneu9b.net	Work: +34 932761187	Fax: +34 933503000	C Portlligat 11-15, 08042, la Trinitat Nova, Nou Barris, BARCELONA	http://www.ateneu9b.net
Restaurant Semon *Sta Fe Nou Mèxic	0	41.3944380194	2.13720966667		Work: +34 932015507		C Santa Fe de Nou Mèxic 15, 08017, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA	
Llibreria Casa del Libro *Passeig Gràcia	0	41.3929241028	2.16447616667		Work: +34 932723480	Fax: +34 934871426	Pg Gràcia 62, 08007, la Dreta de l'Eixample, Eixample, BARCELONA	
Cafeteria  Restaurant Living Bar	0	41.3852623722	2.174424		Work: +34 934121370		Capellans 9, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	
Restaurant Luna de Estambul	0	41.3843565556	2.15277713889		Work: +34 933232565		Av Roma 110, 08015, la Nova Esquerra de l'Eixample, Eixample, BARCELONA	
Restaurant Tapas *Poble Espanyol	1	41.3691172611	2.14672458333		Work: +34 933257746	Fax: +34 933257746	Av Francesc Ferrer Guàrdia 13*27, 08038, el Poble-sec, Sants-Montjuïc, BARCELONA	
Restaurant Bell Amic	0	41.3815173528	2.18028313889	Work: lcanyas@wanadoo.es	Work: +34 933151259		C Gignàs 25, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	
Restaurant Frankfurt de l'Olla	0	41.402389775	2.15676922222		Work: +34 932372174		C Torrent de l'Olla 111, 08012, la Vila de Gràcia, Gràcia, BARCELONA	
El Cafè de Ferran	0	41.3823383944	2.17660561111		Work: +34 933021076		Ferran 59, 08002, el Barri Gòtic, Ciutat Vella, BARCELONA	
Bar Castells	0	41.3841190083	2.16979383333		Work: +34 933021054		Pl Bonsuccés 0001, 08001, el Raval, Ciutat Vella, BARCELONA	
Mirador Barcelona Restaurant El Cordero	0	41.4525851389	2.17929866667		Work: +34 933533419	Fax: +34 933530701	Riudecanyes 5, 08033, Torre Baró, Nou Barris, BARCELONA	
